127.0.0.1 - - [29/May/2021:21:15:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/May/2021:21:15:04 +0900] "GET /jsp01/ex04/20210528_04_cal.jsp HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [29/May/2021:21:15:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2021:21:15:24 +0900] "GET /jsp01/ex04/20210528_03_sales.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [29/May/2021:21:15:33 +0900] "POST /jsp01/ex04/03 HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [29/May/2021:21:17:29 +0900] "GET /jsp01/ex03/20210527_05_selecrall.jsp HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [29/May/2021:21:19:28 +0900] "GET /jsp01/ex03/20210527_05_selecrall.jsp HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [29/May/2021:21:19:29 +0900] "GET /jsp01/ex03/20210527_05_selecrall.jsp HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [29/May/2021:21:19:29 +0900] "GET /jsp01/ex03/20210527_05_selecrall.jsp HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [29/May/2021:21:19:29 +0900] "GET /jsp01/ex03/20210527_05_selecrall.jsp HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [29/May/2021:21:20:36 +0900] "GET /jsp01/ex03/20210527_05_db.jsp?findkey=userid&findvalue=a HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [29/May/2021:21:20:41 +0900] "GET /jsp01/ex03/20210527_05_db.jsp?findkey=userid&findvalue=a HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [29/May/2021:21:20:42 +0900] "GET /jsp01/ex03/20210527_05_selecrall.jsp HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [29/May/2021:21:20:48 +0900] "GET /jsp01/ex03/20210527_05_db.jsp?findkey=userid&findvalue=a HTTP/1.1" 200 945
